session_date,root_symbol,front_month_sym,front_month_id,back_month_sym,back_month_id,close_price,adjusted_close,back_close,spread,is_roll_day,cum_adjustment,gap,days_to_expiry,rc_trade_count,rc_volume,open_price,session_high,session_low,session_trade_count,session_volume,avg_spread_ticks,spread_volatility,overnight_range_pct,overnight_return,open_range_pct,spread_volume,buy_volume,sell_volume,flow_imbalance
2017-09-18,KE,KEZ7,516014,KEH8,454147,440.75,318.5,458.5,-17.75,false,-122.25,0.0,87,3022,8311,445.0,447.25,439.5,3022,8311,1.253614302310572,0.5149703258403362,,,,1168,3352,3899,-0.07543787063853262
2017-09-19,KE,KEZ7,516014,KEH8,454147,442.5,320.25,460.5,-18.0,false,-122.25,0.0,86,5056,13777,441.75,446.0,434.75,5056,13777,1.21910455301324,0.45921820379685124,,,,1903,5892,5748,0.012371134020618556
2017-09-20,KE,KEZ7,516014,KEH8,454147,448.5,326.25,466.5,-18.0,false,-122.25,0.0,85,4426,12342,442.25,449.75,442.0,4426,12342,1.1780951334724816,0.4223868517008714,,,,1900,5607,4946,0.0626362171894248
2017-09-21,KE,KEZ7,516014,KEH8,454147,449.5,327.25,467.0,-17.5,false,-122.25,0.0,84,3930,10147,448.75,451.5,443.5,3930,10147,1.2217802987503108,0.47764062342018937,,,,1463,4615,4086,0.060797609470175845
2017-09-22,KE,KEZ7,516014,KEH8,454147,449.25,327.0,467.5,-18.25,false,-122.25,0.0,83,4726,12009,449.0,452.5,445.0,4726,12009,1.1735291879138443,0.3955142196550516,,,,1807,5721,5133,0.054173576561636266
2017-09-25,KE,KEZ7,516014,KEH8,454147,453.5,331.25,471.25,-17.75,false,-122.25,0.0,80,5607,15080,448.5,455.0,443.5,5607,15080,1.2001926381990218,0.5129893723934281,,,,2390,6363,5748,0.05078028238791182
2017-09-26,KE,KEZ7,516014,KEH8,454147,451.0,328.75,469.25,-18.25,false,-122.25,0.0,79,5104,15817,452.5,460.25,449.75,5104,15817,1.1591602981055507,0.3980488228100807,,,,2450,6737,6534,0.015296511189812373
2017-09-27,KE,KEZ7,516014,KEH8,454147,458.5,336.25,475.75,-17.25,false,-122.25,0.0,78,5700,14406,452.0,459.5,447.0,5700,14406,1.2763570541558797,0.5477635176520174,,,,1810,6418,6212,0.016310372129849565
2017-09-28,KE,KEZ7,516014,KEH8,454147,453.5,331.25,471.5,-18.0,false,-122.25,0.0,77,3292,9335,458.75,459.0,451.25,3292,9335,1.1772524557670447,0.43410739732877085,,,,1365,3907,4326,-0.05089274869427912
2017-09-29,KE,KEZ7,516014,KEH8,454147,444.0,321.75,461.5,-17.5,false,-122.25,0.0,76,7479,19791,453.0,456.75,441.75,7479,19791,1.2473327039880306,0.677520377003299,,,,3970,7434,8258,-0.0525108335457558
2017-10-02,KE,KEZ7,516014,KEH8,454147,439.5,317.25,457.0,-17.5,false,-122.25,0.0,73,5849,18243,440.25,443.5,432.75,5849,18243,1.1550663708201954,0.4021136646144207,,,,2935,8442,6761,0.11057028218114846
2017-10-03,KE,KEZ7,516014,KEH8,454147,442.5,320.25,460.0,-17.5,false,-122.25,0.0,72,4774,12315,439.25,444.75,438.25,4774,12315,1.169031664695835,0.43047338019973874,,,,1682,5919,4754,0.10915393984821513
2017-10-04,KE,KEZ7,516014,KEH8,454147,435.75,313.5,453.5,-17.75,false,-122.25,0.0,71,3419,9575,442.5,443.25,435.5,3419,9575,1.1585233441910967,0.3892886416824164,,,,1606,3343,4181,-0.11137692716640085
2017-10-05,KE,KEZ7,516014,KEH8,454147,434.5,312.25,452.75,-18.25,false,-122.25,0.0,70,4559,12038,436.75,438.0,432.0,4559,12038,1.1718149902217196,0.41934122194273254,,,,1927,4995,5159,-0.016151270435296437
2017-10-06,KE,KEZ7,516014,KEH8,454147,436.25,314.0,454.25,-18.0,false,-122.25,0.0,69,3354,8205,434.25,437.5,431.75,3354,8205,1.1890105525927608,0.4939099982302665,,,,1275,3631,3142,0.07219843496235051
2017-10-09,KE,KEZ7,516014,KEH8,454147,430.5,308.25,448.5,-18.0,false,-122.25,0.0,66,3625,11716,436.5,439.0,430.0,3625,11716,1.171655895622485,0.4469956086245961,,,,1706,4695,5880,-0.11205673758865248
2017-10-10,KE,KEZ7,516014,KEH8,454147,431.5,309.25,449.5,-18.0,false,-122.25,0.0,65,3423,10556,431.0,435.5,429.0,3423,10556,1.1353695432934736,0.35639076171459133,,,,1219,4539,4864,-0.03456343720089333
2017-10-11,KE,KEZ7,516014,KEH8,454147,428.25,306.0,446.5,-18.25,false,-122.25,0.0,64,3927,13060,431.25,431.75,425.5,3927,13060,1.140262076053443,0.37868807607659943,,,,1336,5472,6202,-0.06253212266575296
2017-10-12,KE,KEZ7,516014,KEH8,454147,426.75,304.5,444.5,-17.75,false,-122.25,0.0,63,7814,18116,428.0,433.25,422.5,7814,18116,1.2344490189660815,0.5220194726690579,,,,2258,6942,8164,-0.08089500860585198
2017-10-13,KE,KEZ7,516014,KEH8,454147,436.0,313.75,454.5,-18.5,false,-122.25,0.0,62,4511,12420,426.5,437.0,426.0,4511,12420,1.158445794237905,0.3845771525818214,,,,1585,6186,4904,0.11559963931469792
2017-10-16,KE,KEZ7,516014,KEH8,454147,433.0,310.75,451.25,-18.25,false,-122.25,0.0,59,3729,11370,436.0,440.75,432.5,3729,11370,1.1736334405144695,0.5209056352500884,,,,1319,5131,5094,0.0036185819070904644
2017-10-17,KE,KEZ7,516014,KEH8,454147,433.5,311.25,451.25,-17.75,false,-122.25,0.0,58,2744,7722,434.0,437.0,431.5,2744,7722,1.1871197229242723,0.41104152087110557,,,,1189,3352,3347,0.0007463800567248843
2017-10-18,KE,KEZ7,516014,KEH8,454147,428.0,305.75,446.25,-18.25,false,-122.25,0.0,57,3592,10149,433.0,433.5,427.0,3592,10149,1.146349136439425,0.3629411763048808,,,,1396,3628,5209,-0.17890686884689375
2017-10-19,KE,KEZ7,516014,KEH8,454147,429.0,306.75,447.0,-18.0,false,-122.25,0.0,56,3222,9731,428.75,434.25,427.25,3222,9731,1.1289119557447866,0.37451829427672156,,,,1672,4249,3927,0.039383561643835614
2017-10-20,KE,KEZ7,516014,KEH8,454147,422.25,300.0,440.25,-18.0,false,-122.25,0.0,55,3927,12782,429.25,433.25,421.75,3927,12782,1.1542904748680922,0.38497042091940326,,,,1468,4409,6482,-0.19034064824166744
2017-10-23,KE,KEZ7,516014,KEH8,454147,432.75,310.5,450.75,-18.0,false,-122.25,0.0,52,5007,15215,422.5,434.75,421.25,5007,15215,1.1598584693724727,0.40556375934684474,,,,2226,7507,5777,0.1302318578741343
2017-10-24,KE,KEZ7,516014,KEH8,454147,434.5,312.25,452.25,-17.75,false,-122.25,0.0,51,3014,8096,434.0,435.25,430.25,3014,8096,1.1605233395023649,0.38479919856506994,,,,1362,3640,3286,0.05111175281547791
2017-10-25,KE,KEZ7,516014,KEH8,454147,432.5,310.25,450.25,-17.75,false,-122.25,0.0,50,3740,10243,434.0,438.75,430.75,3740,10243,1.187150710032066,0.40973583292034355,,,,1701,4272,4270,0.00023413720440177945
2017-10-26,KE,KEZ7,516014,KEH8,454147,428.25,306.0,445.5,-17.25,false,-122.25,0.0,49,4149,10576,433.5,435.75,427.5,4149,10576,1.124859237469262,0.3458484425872577,,,,1761,3902,5014,-0.1247196052041274
2017-10-27,KE,KEZ7,516014,KEH8,454147,424.25,302.0,442.0,-17.75,false,-122.25,0.0,48,4242,13369,427.75,428.0,422.75,4242,13369,1.1427167390854542,0.35969937364289506,,,,2148,4910,6726,-0.15606737710553456
2017-10-30,KE,KEZ7,516014,KEH8,454147,422.5,300.25,440.25,-17.75,false,-122.25,0.0,45,3407,10120,425.5,425.75,421.0,3407,10120,1.1815292578051972,0.4321663691256711,,,,1345,4103,4842,-0.08261598658468418
2017-10-31,KE,KEZ7,516014,KEH8,454147,417.75,295.5,435.25,-17.5,false,-122.25,0.0,44,6635,21001,422.0,423.75,413.5,6635,21001,1.1069004524886878,0.3160562933846287,,,,2877,6888,11492,-0.25048966267682266
2017-11-01,KE,KEZ7,516014,KEH8,454147,416.0,293.75,433.75,-17.75,false,-122.25,0.0,43,5027,17259,416.5,419.25,414.25,5027,17259,1.1249866717847012,0.34908672035026955,,,,2809,7288,7084,0.014194266629557473
2017-11-02,KE,KEZ7,516014,KEH8,454147,426.25,304.0,444.0,-17.75,false,-122.25,0.0,42,5489,15950,415.25,426.75,415.25,5489,15950,1.1239708160104345,0.3493605218623425,,,,2236,8738,6183,0.17123517190536827
